               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.025318,             0.01721,                   0,             0.98145,             0.90753,             0.97044,             0.61778,             0.02417,            0.020166,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.026244,            0.018756,                   0,             0.97454,             0.91767,              0.9701,             0.63553,             0.02306,            0.020166,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.027811,            0.019621,                   0,             0.96126,             0.93469,             0.97151,             0.60291,            0.025072,            0.020284,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.027077,            0.017972,                   0,             0.96448,             0.93493,             0.97074,             0.60169,            0.024514,            0.020227,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.025704,            0.017944,                   0,             0.98518,             0.91049,             0.97036,             0.59561,            0.025025,            0.020231,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.026788,            0.019337,                   0,             0.96428,             0.92808,             0.96998,             0.58925,            0.025288,            0.020222,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.027258,            0.018434,                   0,             0.95803,             0.93811,             0.97097,             0.62424,            0.023769,            0.020011,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.026282,             0.01693,                   0,             0.96071,             0.92117,             0.97107,              0.6044,             0.02477,            0.020069,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.026103,            0.017613,                   0,             0.96403,             0.91773,             0.97033,             0.59562,            0.025302,            0.020174,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.024545,            0.015213,                   0,              0.9576,             0.92806,             0.97018,             0.61898,            0.024402,            0.020219,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.027724,            0.018605,                   0,             0.97699,             0.91438,              0.9718,              0.6487,            0.022635,            0.020057,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.027123,            0.018031,                   0,              0.9639,             0.92123,             0.97085,               0.652,            0.022468,             0.01998,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.027288,             0.01824,                   0,             0.96738,             0.91416,             0.97059,             0.62112,            0.023756,            0.019972,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.026932,            0.019613,                   0,             0.95065,             0.92808,             0.97093,             0.60998,            0.024524,            0.020103,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.027063,            0.018435,                   0,             0.95088,             0.92808,             0.97065,             0.62334,            0.024113,            0.020073,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.026565,            0.017797,                   0,             0.95105,              0.9315,             0.97128,             0.63744,            0.022966,            0.019936,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.025401,            0.018394,                   0,             0.95719,             0.92123,             0.96897,             0.63015,            0.023191,            0.019982,                   0,            0.000892,            0.000892,            0.000892
